Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.676,29.870298095064367,36.704435159027334,41.91895719840831,52.12074300114328,23.076981088007454,25.39971733666622,25.033738235521415,28.876553193102435,16.016363445344762,12.061381607178733,7.451774859505903,5.604897423416874,7.099853604381584,2.28282381345975,-5.752022677504201,166.22350140905147,205.78754706163772,39.564045652611924,-269.11727493997694,146.44147858277603,225.5695698879588,27.515850166755975,368.75574759387246,342.64277341010086,311.6158926282735,268.159903763548,239.9731592131141
0.678,29.011391152070757,35.36747537291801,39.849524894586864,49.00463375168499,22.88746005615614,24.59316860912765,24.4300747321973,27.594838447917095,16.078671165638493,12.060267064146988,7.270491525586703,4.809004684451194,7.939878804830746,2.8202198536109293,-5.448428509231428,159.51681942343265,198.55991925341678,39.043099830009744,-258.79677905024795,139.99526950845774,218.08146916843762,23.03868220459218,344.37429877777873,323.61196852293784,298.4257611536542,257.8851126932428,231.3465991587352
0.68,28.152484209076796,34.030515586808136,37.78009259076457,45.88852450222542,22.69793902430475,23.78661988158874,23.826411228872942,26.31312370273123,16.14097888593225,12.059152521115243,7.089208191667428,4.013111945485186,8.779904005280255,3.3576158937623304,-5.14483434095853,152.56022863330045,190.61229183390083,38.05206320062602,-247.8663745503579,133.53419703301674,209.63832343423076,19.411507202457333,320.31300181220496,304.1312187940879,284.33570977538295,246.65048342794353,221.9003994446743
0.682,26.53995651780432,31.889750740400295,35.00730580643664,42.018540003331765,21.754620505566105,22.67880643867007,22.871108154386288,24.880988874279243,15.650488671871829,11.70618929461834,6.7070200464490135,2.7649549270435196,8.061578249652648,3.191282539869419,-4.991973638138237,146.62372865128654,182.85466446548062,36.23093581421966,-238.05106088413413,128.50826074420542,200.97013237260825,16.324325774630967,296.5318565443511,284.2605237311222,269.40573765214634,234.53601503496313,211.71455952997445
0.684,24.766029015384927,29.576838318136115,32.08388452779212,37.98710118783949,20.649864324310496,21.506472388697023,21.840495900173494,23.416639204227245,15.041608030782005,11.277872103686228,6.281804956077827,1.4199383549567126,7.009506972043306,2.874234397992981,-4.871394892672443,141.6073190850654,174.77703680517595,33.169717720136084,-228.99583748776087,125.02246022502547,191.3618956652627,13.667138535393413,273.1008628101993,264.1898828331215,253.7658439354943,221.6117065753403,200.80907886520112
0.686,22.99210151296626,27.263925895872887,29.160463249148812,33.955662372348876,19.54510814305534,20.33413833872446,20.809883645961126,21.95228953417585,14.432727389692433,10.849554912754291,5.856589865706816,0.07492178287045892,5.9574356944343965,2.5571862561166743,-4.750816147206699,136.7509995373965,165.90940850468144,29.158408967310447,-219.70570378984488,122.17179505376878,180.48861298835627,11.14994609897831,249.85002043454102,243.759295590756,237.296027769943,207.85755710392414,188.98395689248838
0.6880000000000001,21.218174010546868,24.951013473608704,26.237041970504293,29.924223556856603,18.44035196179973,19.16180428875142,19.77927139174833,20.487939864123856,13.823846748602609,10.421237721822179,5.43137477533563,-1.2700947892163477,4.905364416825054,2.2401381142402363,-4.630237401740905,130.91476960616728,156.4217792104128,25.50700960427101,-209.1256592114816,118.16126480405867,169.17528401256885,9.272749079525259,227.32932923100628,223.4687614863649,220.48628829307722,193.68356566945883,176.7591930455855
0.6900000000000001,18.82282338866399,21.97233137450752,22.914263638799557,25.626450821577055,16.58077236411141,17.54563998853127,18.260319549015232,18.846276338288316,12.859801106100935,9.593226338315299,4.917483900134468,-2.481719441565116,3.1870935511065523,1.6566490339917053,-4.465177163416916,124.29862888443664,146.65414856355372,22.35551967914253,-197.6257031663216,113.12086904489168,157.83190840314643,7.625548091032581,205.30878900209376,203.1982799940379,203.31662463565445,179.05973131466948,164.22478674990413
0.6920000000000001,16.19491130300026,18.74449155060251,19.44202987500433,21.22900524777669,14.438707559285191,15.763376601497576,16.558611439301647,17.138254853506858,11.762838470289639,8.61563335158399,4.370406988437374,-3.6434234856525745,1.2195040705369538,0.9734470645726385,-4.283470165797599,116.9025769604786,136.73651620010295,19.833939239649794,-185.27083506063838,106.9856073406794,146.65348581995022,6.408343747310244,183.96839953920227,183.2378505796974,185.97703592170944,164.22605307634822,151.4807374225657
0.6940000000000001,13.566999217335452,15.51665172669618,15.969796111207671,16.831559673974517,12.29664275445809,13.981113214463146,14.856903329587364,15.430233368724696,10.665875834477891,7.638040364852278,3.823330076740054,-4.805127529740511,-0.748085410033454,0.29024509515329044,-4.101763168178208,108.81661341782659,126.46888175092239,17.652268333121228,-172.05105429339633,99.99047925129108,135.29501591750636,5.511136661932916,163.42816062266363,163.67747270118184,168.57752126865952,149.26252998544086,138.6870444724496
