,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11030,-74.84264803423443,-72.13614662800396,2.706501406175518,110.91072134825804,-76.19589873733014,-70.78289592494978,52.988124935521945,-47.08397415751628,-414.79322913095325,-80.73620243052855,-109.71344341656997,-92.71609077757215
11031,-75.4737127757231,-71.31919603476216,4.154516740905979,111.13331079312543,-77.55097114618444,-69.24193766434186,54.61301852336696,-46.749930630161536,-418.1361842060661,-80.22666783209499,-109.56386049476777,-92.6412519730736
11032,-76.0650690142391,-70.35235202558613,5.712716988597989,111.24124502705303,-78.92142750854684,-67.49599353131894,57.117469165651,-46.1377632447645,-420.8783295219902,-79.46867090842174,-109.11445295364356,-92.43670508563736
11033,-76.50671649481352,-69.80561324776902,6.701103246989483,111.40952311871852,-79.8572681183174,-66.4550616243052,59.24147431897319,-44.90747695934668,-423.1595578839257,-78.50221493747559,-108.52521986836517,-92.21244997085657
11034,-76.83865495122761,-69.78897833999022,7.049676611182343,111.73314412124282,-80.36349325682835,-66.26414003442909,61.80503144730535,-42.889076671951436,-424.35976285363256,-77.21730314663385,-107.70616030586515,-91.96848647263455
11035,-77.0508841059807,-70.13244593234089,6.918438173584717,112.11710707217088,-80.51010319278302,-66.67322684557767,63.20813802214374,-40.28256722019749,-424.868838756794,-75.83393871234867,-107.01727332485808,-91.96481442314924
11036,-77.23340367025838,-70.79601464635003,6.437389023853232,112.63141099345276,-80.45209818219539,-67.57732013445165,64.84079152266077,-36.63795338083317,-423.85668069037894,-73.97212475981172,-106.12855797585758,-92.04143364281776
11037,-77.53621334390094,-71.71968309501065,5.8165302488351065,113.39605489142525,-80.4444784683293,-68.81141797062041,66.632989435857,-31.48523986929128,-420.9831845300031,-71.24186436261972,-104.77001330119427,-92.0983439402614
11038,-77.90931281537183,-72.80344988280649,5.105862932510148,114.31103775679372,-80.46224428163819,-70.2505184165778,68.26472925671337,-24.304431339244662,-416.1582469372901,-67.36316054244037,-102.86163833503365,-92.09554511227054
11039,-77.93270176172672,-73.6473136057388,4.285388155932658,114.7563585646144,-80.07539583970481,-71.50461952779796,70.76600848834349,-14.485532382162434,-408.3517653672306,-61.49601626867918,-99.52343210339433,-91.41303694377014
